Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Advertising,2,391,6.07%,7.89%,22.32%,24.67%,1.23,1.35,12.55%,38.89%,6.44%,23.97%,10.69%,3.23,1.56,11.94,18.47,2.6,53.68,-2.51%,1.72%,0.17%,25.11%,7.54%,76.01%,76.01%,8.07%
Aerospace/Defense,10,289,9.31%,7.99%,13.94%,16.18%,0.9,0.98,10.19%,35.10%,6.44%,17.20%,9.26%,1.83,2.26,17.91,27.41,4.47,77.15,38.81%,3.54%,2.15%,40.17%,14.14%,44.96%,44.96%,8.36%
Air Transport,10,155,2.48%,7.28%,7.61%,18.08%,0.81,1.29,12.13%,30.06%,6.44%,50.98%,8.40%,1.2,1.42,8.42,18.09,2.4,96.63,-2.85%,9.87%,3.46%,30.36%,19.65%,25.21%,25.21%,7.23%
Apparel,3,1152,2.99%,14.64%,21.31%,25.31%,0.78,0.83,9.22%,32.72%,6.44%,14.56%,8.58%,1.67,2.44,13.19,16.13,3.63,42.49,22.43%,5.16%,3.43%,52.15%,17.06%,42.38%,42.38%,14.80%
Auto & Truck,10,165,8.13%,7.56%,8.62%,21.88%,1.1,1.36,12.60%,36.46%,6.44%,35.61%,9.83%,1.23,1.2,9.84,15.28,1.67,42.26,2.13%,6.07%,3.46%,70.38%,14.50%,26.55%,26.55%,7.74%
Auto Parts,5,761,6.87%,5.01%,6.95%,24.08%,1.21,1.31,12.25%,30.39%,6.44%,23.44%,10.50%,1.73,0.83,8.55,15.81,1.5,130.49,11.76%,5.37%,3.85%,116.14%,7.58%,41.66%,41.66%,4.83%
Bank (Money Center),5,607,12.03%,0.28%,0.04%,18.59%,0.42,0.88,9.50%,21.28%,5.85%,74.42%,5.68%,0.16,6.77,189.9,NA,0.84,14.73,NA,3.33%,5.08%,1957.50%,12.65%,30.70%,30.70%,0.31%
Banks (Regional),2,881,8.40%,-0.01%,-0.01%,19.18%,0.28,0.52,7.23%,18.30%,5.85%,71.76%,5.18%,0.17,5.84,NA,NA,0.74,28.98,NA,2.96%,-4.27%,NA,9.83%,29.09%,29.09%,-0.10%
Beverage (Alcoholic),3,220,8.25%,21.69%,16.07%,21.95%,0.69,0.75,8.66%,27.49%,6.44%,15.74%,8.05%,0.88,3.65,13.89,16.68,3.18,49.81,10.80%,5.11%,2.92%,39.67%,16.53%,44.61%,44.61%,21.74%
Beverage (Soft),3,100,13.11%,16.71%,26.08%,20.41%,0.66,0.71,8.41%,32.24%,6.44%,14.15%,7.90%,1.76,3.54,17.27,21.07,6.22,34.11,-4.62%,4.67%,2.27%,28.35%,25.76%,63.11%,63.11%,16.78%
