Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Advertising,2,57,11.57%,9.61%,31.52%,20.55%,1.18,1.37,10.19%,56.41%,5.35%,25.24%,8.63%,3.28,2.26,12.94,22.24,5.76,175.73,1.25%,1.83%,-1.69%,-0.99%,3.25%,282.84%,282.84%,10.14%
Aerospace/Defense,10,70,7.59%,8.54%,16.17%,15.45%,0.93,1.08,8.83%,36.40%,5.09%,20.29%,7.81%,1.98,2.48,18.49,28.31,5.08,32.52,45.04%,2.83%,2.28%,39.25%,13.19%,53.69%,53.69%,8.77%
Air Transport,10,25,2.90%,6.90%,10.92%,23.53%,0.64,1.27,9.71%,44.65%,5.09%,61.85%,6.06%,1.78,0.91,6.17,13.02,2.24,12.66,1.09%,11.16%,6.72%,118.59%,21.94%,7.86%,7.86%,6.72%
Apparel,3,38,5.72%,8.76%,15.29%,32.17%,0.93,1.19,9.38%,37.04%,5.09%,32.78%,7.55%,1.77,1.2,7.92,12.39,2.56,18.69,24.65%,2.42%,0.54%,-7.29%,9.20%,74.98%,74.98%,9.60%
Auto & Truck,10,34,21.94%,4.82%,5.19%,13.21%,1.3,1.52,10.88%,59.70%,5.35%,23.68%,9.26%,1.05,2.49,21.65,49.58,4.6,21.12,-2.20%,6.41%,2.66%,81.47%,9.37%,35.46%,35.46%,5.10%
Auto Parts,5,39,6.28%,5.31%,10.16%,27.95%,1.12,1.34,10.06%,37.07%,5.09%,27.77%,8.33%,2,0.82,7.06,14.12,2,39.03,15.45%,3.71%,3.17%,95.18%,5.72%,45.37%,45.37%,5.85%
Bank (Money Center),5,15,7.28%,0.00%,0.02%,15.86%,0.64,1.06,8.76%,22.51%,4.50%,68.37%,5.08%,0.27,5.27,NA,NA,1.05,8.55,NA,1.97%,1.30%,5572.88%,14.87%,24.34%,24.34%,0.08%
Banks (Regional),2,625,9.22%,0.00%,-0.05%,20.72%,0.33,0.46,6.00%,18.68%,4.50%,50.48%,4.68%,0.37,4.47,NA,NA,1.02,35.97,NA,2.73%,-10.09%,NA,12.14%,32.01%,32.01%,-0.18%
Beverage (Alcoholic),3,19,12.06%,20.63%,16.67%,25.60%,0.97,1.13,9.09%,49.70%,5.09%,19.66%,8.05%,0.9,3.89,14.84,18.68,3.1,35.38,17.12%,7.66%,9.39%,90.81%,8.70%,54.63%,54.63%,20.75%
Beverage (Soft),3,29,28.58%,19.30%,30.65%,18.73%,0.7,0.76,7.40%,42.96%,5.09%,14.62%,6.87%,1.69,4.16,18.07,21.47,7.42,33.67,-7.14%,4.65%,2.39%,25.68%,30.56%,66.39%,66.39%,19.40%
Broadcasting,10,22,5.48%,11.78%,12.06%,26.27%,0.5,1.06,8.76%,38.46%,5.09%,63.82%,5.60%,1.12,1.25,7.31,10.67,0.8,7.82,10.92%,2.52%,-2.06%,211.44%,-2.16%,0.22%,0.22%,11.73%
Brokerage & Investment Banking,#N/A,27,12.79%,0.77%,0.13%,21.05%,0.55,1.12,9.03%,25.21%,5.09%,69.33%,5.41%,0.28,5.61,NA,NA,1.66,222.19,NA,3.41%,1.68%,5643.37%,10.41%,43.53%,43.53%,0.58%
